Category	Name	Latest	Information
Utility	hyperfine	v1.17.0	![Status](https://github.com/pscedu/singularity-hyperfine/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-hyperfine/actions/workflows/pretty.yml/badge.svg)
Utility	imagemagick	rate-limited	![Status](https://github.com/pscedu/singularity-imagemagick/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-imagemagick/actions/workflows/pretty.yml/badge.svg)
Remote Desktop App	inkscape	rate-limited	![Status](https://github.com/pscedu/singularity-inkscape/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-inkscape/actions/workflows/pretty.yml/badge.svg)
Utility	jp	v0.2.1	![Status](https://github.com/pscedu/singularity-jp/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-jp/actions/workflows/pretty.yml/badge.svg)
Utility	jq	v1.7.1-r0	![Status](https://github.com/pscedu/singularity-jq/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-jq/actions/workflows/pretty.yml/badge.svg)
Scientific tool	kraken2	rate-limited	![Status](https://github.com/pscedu/singularity-kraken2/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-kraken2/actions/workflows/pretty.yml/badge.svg)
Utility	lazygit	rate-limited	![Status](https://github.com/pscedu/singularity-lazygit/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-lazygit/actions/workflows/pretty.yml/badge.svg)
Utility	libtiff-tools	v4.2.0	![Status](https://github.com/pscedu/singularity-libtiff-tools/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-libtiff-tools/actions/workflows/pretty.yml/badge.svg)
Utility	lowcharts	v0.5.9	![Status](https://github.com/pscedu/singularity-lowcharts/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-lowcharts/actions/workflows/pretty.yml/badge.svg)
Utility	mc	v4.8.33	![Status](https://github.com/pscedu/singularity-mc/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-mc/actions/workflows/pretty.yml/badge.svg)
